step,train_loss,lr,grad_norm,tok_per_sec,val_loss
402,4.591481,5.974244e-04,0.3999,75946.11,
403,4.565964,5.973987e-04,0.4437,75943.90,
404,4.585425,5.973730e-04,0.3860,75937.34,
405,4.563641,5.973470e-04,0.3807,75936.57,
406,4.537071,5.973210e-04,0.3272,75944.11,
407,4.472645,5.972949e-04,0.3367,75944.54,
408,4.441599,5.972686e-04,0.3895,75942.96,
409,4.485273,5.972422e-04,0.4581,75944.41,
410,4.493825,5.972156e-04,0.4429,75942.69,
411,4.495554,5.971890e-04,0.4119,75946.79,
412,4.488260,5.971622e-04,0.5211,75941.78,
413,4.518200,5.971353e-04,0.5620,75942.87,
414,4.483449,5.971082e-04,0.6059,75941.07,
415,4.498293,5.970811e-04,0.5877,75942.91,
416,4.485497,5.970538e-04,0.5440,75940.51,
417,4.554335,5.970263e-04,0.4946,75948.34,
418,4.705957,5.969988e-04,0.4759,75936.07,
419,4.691597,5.969711e-04,0.5690,75942.97,
420,4.675458,5.969433e-04,0.4518,75944.04,
421,4.641365,5.969154e-04,0.4274,75943.12,
422,4.667859,5.968874e-04,0.4569,75942.99,
423,4.646312,5.968592e-04,0.4546,75943.89,
424,4.711928,5.968309e-04,0.5398,75945.72,
425,4.637654,5.968024e-04,0.5551,75942.91,
426,4.626476,5.967739e-04,0.5089,75941.35,
427,4.586869,5.967452e-04,0.5034,75942.85,
428,4.590090,5.967164e-04,0.4644,75938.41,
429,4.572400,5.966875e-04,0.4405,75937.33,
430,4.712580,5.966584e-04,0.4406,75940.81,
431,4.631855,5.966292e-04,0.4587,75940.90,
432,4.569395,5.965999e-04,0.5014,75938.99,
433,4.660921,5.965705e-04,0.5592,75936.83,
434,4.684996,5.965409e-04,0.5803,75944.37,
435,4.548962,5.965112e-04,0.6423,75941.62,
436,4.587415,5.964814e-04,0.4462,75941.06,
437,4.518359,5.964514e-04,0.4650,75942.17,
438,4.655580,5.964214e-04,0.4035,75944.95,
439,4.623361,5.963912e-04,0.4117,75939.88,
440,4.624511,5.963609e-04,0.4565,75941.83,
441,4.432586,5.963304e-04,0.5126,75942.94,
442,4.494784,5.962998e-04,0.4883,75940.31,
443,4.478873,5.962691e-04,0.4765,75944.33,
444,4.466709,5.962383e-04,0.4121,75942.53,
445,4.481231,5.962074e-04,0.3965,75939.80,
446,4.502166,5.961763e-04,0.3923,75944.30,
447,4.463140,5.961451e-04,0.3858,75949.59,
448,4.513837,5.961138e-04,0.3995,75943.22,
449,4.532140,5.960823e-04,0.3548,75947.15,
450,4.461497,5.960507e-04,0.4428,75945.56,
451,4.470380,5.960190e-04,0.4511,75944.84,
452,4.499548,5.959872e-04,0.3805,75938.46,
453,4.363192,5.959552e-04,0.4071,75944.78,
454,4.396151,5.959231e-04,0.4006,75944.41,
455,4.405814,5.958909e-04,0.4466,75937.52,
456,4.314215,5.958586e-04,0.3866,75945.67,
457,4.404204,5.958261e-04,0.3944,75945.22,
458,4.378553,5.957935e-04,0.3894,75939.59,
459,4.384855,5.957608e-04,0.3728,75942.12,
460,4.410641,5.957280e-04,0.3852,75943.30,
461,4.353678,5.956950e-04,0.4211,75939.89,
462,4.352028,5.956619e-04,0.4842,75940.30,
463,4.285023,5.956287e-04,0.4825,75946.18,
464,4.389687,5.955954e-04,0.4259,75943.34,
465,4.451304,5.955619e-04,0.4006,75942.79,
466,4.487022,5.955283e-04,0.4529,75941.09,
467,4.576977,5.954946e-04,0.4946,75942.92,
468,4.478086,5.954608e-04,0.4626,75945.83,
469,4.512331,5.954268e-04,0.4866,75939.37,
470,4.497173,5.953927e-04,0.5068,75940.75,
471,4.480771,5.953585e-04,0.4878,75941.81,
472,4.421330,5.953241e-04,0.5211,75938.34,
473,4.505942,5.952897e-04,0.4972,75947.40,
474,4.475365,5.952551e-04,0.3864,75935.66,
475,4.541642,5.952203e-04,0.4479,75940.46,
476,4.501837,5.951855e-04,0.4538,75944.09,
477,4.419110,5.951505e-04,0.3739,75938.21,
478,4.548721,5.951154e-04,0.3694,75942.30,
479,4.451662,5.950802e-04,0.4602,75940.48,
480,4.525609,5.950448e-04,0.4861,75940.33,
481,4.454339,5.950094e-04,0.4592,75939.77,
482,4.477846,5.949738e-04,0.4581,75941.69,
483,4.454240,5.949381e-04,0.3981,75942.28,
484,4.492605,5.949022e-04,0.3926,75944.35,
485,4.426992,5.948662e-04,0.3511,75939.45,
486,4.485910,5.948301e-04,0.3910,75940.26,
487,4.435294,5.947939e-04,0.3669,75943.96,
488,4.429703,5.947575e-04,0.3756,75944.21,
489,4.395279,5.947211e-04,0.3706,75945.02,
490,4.344680,5.946845e-04,0.4038,75946.22,
491,4.397052,5.946477e-04,0.4314,75937.95,
492,4.359658,5.946109e-04,0.4356,75922.96,
493,4.387663,5.945739e-04,0.3981,75944.86,
494,4.333280,5.945368e-04,0.4112,75942.74,
495,4.392828,5.944996e-04,0.4395,75945.06,
496,4.351223,5.944622e-04,0.4000,75940.00,
497,4.378909,5.944247e-04,0.4014,75938.72,
498,4.350789,5.943871e-04,0.4048,75944.61,
499,4.293957,5.943494e-04,0.3374,75940.14,
500,4.243415,5.943116e-04,0.3563,75939.44,4.3567
501,4.323720,5.942736e-04,0.3237,56375.82,
502,4.261047,5.942355e-04,0.3337,75929.87,
503,4.270903,5.941973e-04,0.3560,75941.49,
504,4.205401,5.941589e-04,0.3097,75938.01,
505,4.304681,5.941204e-04,0.3353,75933.91,
506,4.252098,5.940818e-04,0.3437,75942.86,
507,4.268947,5.940431e-04,0.3551,75936.98,
508,4.277382,5.940042e-04,0.3767,75942.92,
509,4.177755,5.939653e-04,0.4297,75944.80,
510,4.237641,5.939262e-04,0.4592,75930.53,
511,4.405230,5.938869e-04,0.4199,75938.92,
512,4.418029,5.938476e-04,0.4013,75946.23,
513,4.405709,5.938081e-04,0.4433,75937.90,
514,4.396548,5.937685e-04,0.4903,75938.56,
515,4.409622,5.937288e-04,0.5127,75941.80,
516,4.408975,5.936889e-04,0.5542,75950.57,
517,4.605097,5.936490e-04,0.5744,75941.64,
518,4.456100,5.936089e-04,0.4947,75937.64,
519,4.406888,5.935686e-04,0.6561,75941.13,
520,4.478728,5.935283e-04,0.5775,75944.55,
521,4.399379,5.934878e-04,0.4628,75938.40,
522,4.401676,5.934472e-04,0.5081,75941.11,
523,4.412705,5.934065e-04,0.4995,75946.12,
524,4.345972,5.933656e-04,0.4113,75943.71,
525,4.373975,5.933247e-04,0.3895,75941.33,
526,4.352017,5.932836e-04,0.3962,75940.97,
527,4.363697,5.932423e-04,0.3785,75941.35,
528,4.358576,5.932010e-04,0.3583,75940.67,
529,4.355843,5.931595e-04,0.3391,75945.05,
530,4.350145,5.931179e-04,0.3469,75938.09,
531,4.344359,5.930762e-04,0.3670,75945.68,
532,4.354833,5.930344e-04,0.3253,75946.44,
533,4.312223,5.929924e-04,0.3240,75948.34,
